state,date,cases,deaths
Oregon,2020-11-09,51155,738
Indiana,2020-11-10,221894,4731
Indiana,2020-11-11,226935,4762
New Jersey,2020-11-24,314964,16819
Alaska,2020-12-02,33450,116
Georgia,2020-12-09,496327,9629
Hawaii,2020-12-10,18901,266
North Dakota,2020-12-11,87214,1130
Rhode Island,2020-12-11,59931,1419
New York,2020-12-13,420131,10697
Maine,2020-12-17,17888,276
Rhode Island,2020-12-17,67801,1516
North Carolina,2020-12-22,491242,6342
Vermont,2020-12-01,4231,72
Tennessee,2020-12-12,430971,5316
Massachusetts,2020-12-24,327365,11957
Connecticut,2020-12-28,180529,5903
Florida,2020-12-30,1303053,21545
Florida,2021-01-02,1351780,21889
Nevada,2021-01-08,244103,3409
Utah,2021-01-08,300216,1381
Mississippi,2021-01-10,239082,5167
Alaska,2021-01-15,50942,220
Kentucky,2021-01-19,334347,3489
District of Columbia,2021-01-27,35865,895
Arizona,2021-01-29,750787,13047
Minnesota,2021-02-03,463364,6234
Mississippi,2021-02-06,280778,6266
Delaware,2021-02-07,80411,1208
Utah,2021-02-15,360444,1793
California,2021-02-22,3536916,49531
Utah,2021-02-24,367480,1879
Georgia,2021-02-28,978230,16745
Utah,2021-03-02,370779,1947
Arkansas,2021-03-05,321023,5283
Louisiana,2021-03-05,432623,9716
Louisiana,2021-03-08,433864,9758
Massachusetts,2021-03-09,559521,16447
Indiana,2021-03-10,672439,12775
Oklahoma,2021-03-10,430246,4701
Colorado,2021-03-11,442599,6108
New Mexico,2021-03-13,188162,3852
Missouri,2021-03-15,530720,8124
North Carolina,2021-03-17,894250,11783
Oregon,2021-03-22,161800,2377
Ohio,2021-03-26,1008913,18525
South Carolina,2021-03-27,548114,9104
South Dakota,2021-03-29,117336,1933
New Hampshire,2021-04-03,84315,1241
Utah,2021-04-09,388189,2152
Iowa,2021-04-11,356020,5857
Maine,2021-04-15,55953,758
Virginia,2021-04-20,648347,10625
Washington,2021-04-21,392013,5466
Arizona,2020-03-04,2,0
Georgia,2020-03-04,2,0
Texas,2020-03-06,19,0
North Carolina,2020-03-12,16,0
Wyoming,2020-03-18,17,0
South Dakota,2020-03-19,14,1
Washington,2020-04-14,10491,552
Connecticut,2020-04-20,19301,1327
Arkansas,2020-05-06,3466,87
Maine,2020-05-11,1456,65
Indiana,2020-05-16,27919,1741
Alaska,2020-05-20,402,8
Kentucky,2020-05-20,8336,381
South Dakota,2020-05-25,4586,50
Kansas,2020-05-31,9878,211
New Jersey,2020-06-05,162551,12049
Kentucky,2020-06-11,12128,513
Montana,2020-06-11,563,18
Virginia,2020-06-17,55775,1583
Arkansas,2020-06-23,15995,237
Nebraska,2020-06-25,18345,266
Kentucky,2020-07-02,16370,605
Pennsylvania,2020-07-02,92703,6758
Connecticut,2020-07-13,47266,4369
Florida,2020-07-13,282109,4276
Indiana,2020-07-14,54001,2775
Florida,2020-07-15,301470,4520
Maine,2020-07-18,3641,117
West Virginia,2020-07-19,5042,100
Alaska,2020-07-22,2609,17
Iowa,2020-07-25,41878,826
Maine,2020-07-25,3789,119
Texas,2020-07-25,391609,5002
Arkansas,2020-07-27,37948,408
Massachusetts,2020-08-05,119301,8653
West Virginia,2020-08-06,7277,124
Idaho,2020-08-11,25767,248
Louisiana,2020-08-13,135199,4279
Michigan,2020-08-13,99700,6552
Nevada,2020-08-13,58812,1030
Virgin Islands,2020-08-17,760,9
Georgia,2020-08-19,224489,4736
New Hampshire,2020-09-01,7295,432
Nevada,2020-09-04,70783,1376
Illinois,2020-09-06,250443,8190
New York,2020-09-09,204530,8870
Montana,2020-09-11,8817,132
Connecticut,2020-09-19,55406,4492
Arkansas,2020-09-30,81786,1369
Northern Mariana Islands,2020-10-03,70,2
Kansas,2020-10-12,69158,774
Virginia,2020-10-12,159570,3361
Wisconsin,2020-10-19,183177,1624
Kansas,2020-10-20,74883,902
Delaware,2020-10-23,23596,678
Idaho,2020-10-25,59121,574
Illinois,2020-10-29,397093,9698
Louisiana,2020-10-29,181518,5694
Mississippi,2020-10-31,120160,3334
Pennsylvania,2020-10-31,212816,8883
Hawaii,2020-11-01,15287,218
Wyoming,2020-11-06,16405,105
Illinois,2020-11-13,553083,10907
West Virginia,2020-11-13,31639,565
Maryland,2020-11-15,166317,4289
Delaware,2020-11-17,29457,739
Tennessee,2020-11-21,329052,4162
Massachusetts,2020-11-23,201283,10524
New Hampshire,2020-11-26,18467,513
New York,2020-12-01,340740,9935
Rhode Island,2020-12-02,51705,1346
Alabama,2020-12-06,269877,3889
Indiana,2020-12-11,414961,6673
Ohio,2020-12-14,570602,7551
South Dakota,2020-12-14,91354,1259
Colorado,2021-01-02,340454,4976
Nebraska,2021-01-02,169330,1708
Kansas,2021-01-04,234390,2424
Virginia,2021-01-04,367536,5132
Maryland,2021-01-07,296049,6109
Hawaii,2021-01-08,22894,301
New Mexico,2021-01-21,166823,3046
Kansas,2021-01-25,272220,2913
West Virginia,2021-01-27,117775,1953
Utah,2021-01-29,342751,1654
Delaware,2021-01-30,77369,1081
Montana,2021-01-31,93961,1234
Connecticut,2021-02-06,258514,7206
Alaska,2021-02-07,54640,269
Maine,2021-02-08,41413,636
Louisiana,2021-02-09,413936,9162
South Carolina,2021-02-12,480157,7894
South Carolina,2021-02-17,492369,8117
Oregon,2021-02-23,153645,2171
West Virginia,2021-02-24,130382,2285
Oklahoma,2021-03-01,424886,4478
New Mexico,2021-03-03,185898,3755
South Dakota,2021-03-04,113065,1896
New York,2021-03-07,942291,18034
Tennessee,2021-03-08,761665,11342
Wisconsin,2021-03-11,623801,7162
Georgia,2021-03-12,1003009,17605
Kansas,2021-03-12,300698,3799
New Mexico,2021-03-18,189158,3879
Arkansas,2021-03-20,325349,5533
Oklahoma,2021-03-24,435444,4850
Vermont,2021-03-24,18020,222
Oklahoma,2021-03-29,435444,4850
Mississippi,2021-04-01,305417,7048
Arizona,2021-04-05,844921,16990
Georgia,2021-04-07,1041179,18703
Delaware,2021-04-10,97998,1577
Indiana,2021-04-11,701988,13148
New Hampshire,2021-04-11,87655,1251
New Mexico,2021-04-13,194164,3990
Ohio,2021-04-13,1043729,18915
New Mexico,2021-04-17,194868,4003
Arizona,2021-04-23,857347,17238
Utah,2020-03-01,1,0
Tennessee,2020-03-05,1,0
Iowa,2020-03-19,44,0
Mississippi,2020-04-07,1915,59
Alabama,2020-04-10,3008,80
Georgia,2020-04-12,11490,438
Wisconsin,2020-04-15,3721,184
Pennsylvania,2020-04-16,28314,940
Oklahoma,2020-04-28,3410,207
District of Columbia,2020-04-29,4106,205
Massachusetts,2020-04-30,61790,3557
Utah,2020-04-30,4661,44
Rhode Island,2020-05-01,7858,147
Connecticut,2020-05-04,29610,2553
New Jersey,2020-05-09,136528,9116
Utah,2020-05-13,6624,73
Massachusetts,2020-05-22,90593,6225
Vermont,2020-05-30,972,55
Missouri,2020-06-03,12654,774
Arkansas,2020-06-04,8193,151
New Jersey,2020-06-04,161694,11970
Idaho,2020-06-08,3197,83
Maine,2020-06-09,2604,100
Illinois,2020-06-16,134005,6427
Texas,2020-06-20,111594,2186
Indiana,2020-06-27,45707,2616
Vermont,2020-06-28,1196,56
Virginia,2020-06-30,62787,1763
West Virginia,2020-07-02,3053,93
Hawaii,2020-07-03,957,19
California,2020-07-06,277869,6452
Idaho,2020-07-06,8222,94
Vermont,2020-07-11,1278,56
Minnesota,2020-07-19,46111,1541
Colorado,2020-07-22,41747,1772
Wisconsin,2020-07-22,45537,867
Louisiana,2020-07-26,107564,3651
Wisconsin,2020-07-26,49333,894
Oregon,2020-08-02,19097,331
Colorado,2020-08-06,49633,1857
Kansas,2020-08-06,30153,376
West Virginia,2020-08-13,8151,153
Ohio,2020-08-15,107674,3824
North Carolina,2020-08-19,148491,2464
Colorado,2020-08-23,55441,1925
Montana,2020-08-24,6510,91
Florida,2020-08-28,614839,10956
Minnesota,2020-08-29,74112,1814
South Carolina,2020-08-29,117249,2698
Michigan,2020-08-30,112165,6745
Illinois,2020-09-02,239641,8115
South Carolina,2020-09-02,120503,2794
Louisiana,2020-09-05,151282,4872
Maine,2020-09-05,4665,134
Alaska,2020-09-06,6566,39
Wisconsin,2020-09-06,86406,1169
New Mexico,2020-09-11,26563,818
District of Columbia,2020-09-14,14622,616
Illinois,2020-09-17,269342,8413
Georgia,2020-09-30,299279,6854
Alaska,2020-10-02,8928,53
Tennessee,2020-10-21,231457,2946
Alabama,2020-10-24,183276,2866
Louisiana,2020-11-04,184837,5746
Arkansas,2020-11-07,119073,2068
Massachusetts,2020-11-15,182086,10322
Mississippi,2020-11-16,134898,3545
Virginia,2020-11-17,206762,3835
New York,2020-11-22,301472,9561
New Mexico,2020-11-24,86247,1430
Iowa,2020-12-08,245503,2915
Florida,2020-12-12,1113844,19784
West Virginia,2020-12-17,68485,1071
Montana,2020-12-18,76056,855
Kansas,2020-12-21,207933,2059
Kentucky,2020-12-28,261009,2871
Minnesota,2021-01-07,429127,5572
Hawaii,2021-01-10,23300,306
Maine,2021-01-11,29598,437
Virginia,2021-01-19,451076,5798
Utah,2021-01-21,329265,1546
Iowa,2021-01-30,318046,4651
New Mexico,2021-02-10,178790,3463
New Hampshire,2021-02-12,69081,1121
North Carolina,2021-02-12,819242,10408
New Hampshire,2021-02-13,69497,1125
Illinois,2021-02-19,1173897,22202
South Carolina,2021-02-23,506912,8357
Arkansas,2021-02-26,315898,5407
Wyoming,2021-03-03,54616,682
Michigan,2021-03-09,659901,16671
Virginia,2021-03-18,600550,10182
Arizona,2021-03-22,836737,16745
Nebraska,2021-03-29,209165,2282
Illinois,2021-04-04,1260001,23385
Ohio,2021-04-06,1028800,18740
Iowa,2021-04-09,355077,5849
Alaska,2021-04-10,63965,299
Florida,2021-04-10,2115138,34013
North Carolina,2021-04-17,950078,12416
Tennessee,2021-04-23,817288,11927
Wisconsin,2020-02-05,1,0
Pennsylvania,2020-03-12,22,0
Pennsylvania,2020-03-22,504,3
Alaska,2020-03-25,59,0
Colorado,2020-04-11,6718,274
Washington,2020-04-11,9644,498
South Dakota,2020-04-12,729,6
District of Columbia,2020-04-18,2666,91
Utah,2020-04-20,3213,27
Maryland,2020-04-21,14249,539
New Hampshire,2020-04-21,1476,41
Alabama,2020-04-23,5832,197
Arkansas,2020-04-23,2472,45
Missouri,2020-04-24,6151,252
Mississippi,2020-04-26,5911,227
Minnesota,2020-05-06,8570,485
Kansas,2020-05-07,6240,164
Vermont,2020-05-15,929,53
Alaska,2020-06-03,515,8
North Dakota,2020-06-07,2861,72
Kansas,2020-06-08,10724,237
Montana,2020-06-08,548,18
Idaho,2020-06-09,3226,85
Washington,2020-06-14,27135,1220
Arizona,2020-06-15,37005,1204
Louisiana,2020-06-16,47313,2930
Hawaii,2020-06-23,807,17
Louisiana,2020-06-24,52469,3039
Delaware,2020-06-25,10959,507
New Mexico,2020-07-02,12520,503
Hawaii,2020-07-05,1005,19
South Carolina,2020-07-07,47352,846
North Dakota,2020-07-11,4243,87
Tennessee,2020-07-12,61106,730
Rhode Island,2020-07-18,16202,981
Kansas,2020-07-26,25649,335
Illinois,2020-07-30,177642,7485
Kansas,2020-08-07,30966,377
Colorado,2020-08-09,50799,1863
Montana,2020-08-09,4952,75
Iowa,2020-08-10,49161,935
Louisiana,2020-08-11,132870,4195
Kansas,2020-08-19,36333,420
Wyoming,2020-08-20,3468,34
Texas,2020-08-22,599156,11650
South Dakota,2020-08-26,11571,162
Alaska,2020-08-28,5836,34
Iowa,2020-09-01,65843,1125
Alaska,2020-09-04,6379,37
South Carolina,2020-09-11,129046,3028
Louisiana,2020-09-14,157751,5082
Nevada,2020-09-16,74377,1496
Indiana,2020-09-22,114864,3520
Tennessee,2020-09-29,191859,2393
Delaware,2020-10-01,20296,636
California,2020-10-07,843732,16358
Northern Mariana Islands,2020-10-08,75,2
Iowa,2020-10-09,98015,1454
Virginia,2020-10-09,156649,3344
South Carolina,2020-10-10,156621,3551
Kansas,2020-10-15,70815,827
Arkansas,2020-10-16,95557,1665
Nevada,2020-10-21,92193,1735
Vermont,2020-10-23,2008,58
Delaware,2020-11-04,25442,712
Mississippi,2020-11-06,124854,3419
Pennsylvania,2020-11-10,244046,9156
Kentucky,2020-11-11,130308,1689
Wisconsin,2020-11-15,329924,2759
Illinois,2020-11-16,586569,11217
Idaho,2020-11-18,87020,815
South Dakota,2020-11-18,68671,674
Illinois,2020-11-25,686855,12465
New Jersey,2020-11-30,338247,16993
Missouri,2020-12-01,290889,3789
Iowa,2020-12-03,238013,2603
Vermont,2020-12-03,4634,75
Mississippi,2020-12-05,163458,3949
Rhode Island,2020-12-10,59931,1419
Kansas,2020-12-14,193109,1847
Northern Mariana Islands,2020-12-22,116,2
Louisiana,2020-12-25,296089,7272
Arkansas,2020-12-26,211249,3441
Wyoming,2021-01-04,45247,438
New Hampshire,2021-01-05,47013,791
Oklahoma,2021-01-06,311112,2633
Arizona,2021-01-21,703249,11813
Hawaii,2021-01-25,25209,339
West Virginia,2021-01-25,115839,1899
Wyoming,2021-01-28,51430,596
Mississippi,2021-01-29,272662,5983
Nebraska,2021-02-03,193128,2042
West Virginia,2021-02-15,127889,2212
Maryland,2021-02-20,375919,7641
Maryland,2021-02-23,377810,7676
Rhode Island,2021-02-24,113694,2449
South Carolina,2021-02-25,511546,8443
Wyoming,2021-02-27,54350,671
Ohio,2021-02-28,967422,17299
Arkansas,2021-03-01,319219,5250
Idaho,2021-03-08,173523,1893
Vermont,2021-03-13,16690,214
Arizona,2021-03-14,832743,16553
Rhode Island,2021-03-14,118097,2534
New Hampshire,2021-03-17,78274,1197
Hawaii,2021-03-18,28509,448
West Virginia,2021-03-26,139750,2628
Virgin Islands,2021-03-30,2907,26
Arizona,2021-04-04,844302,16994
Idaho,2021-04-14,184427,2008
Rhode Island,2021-04-23,133020,2640
Massachusetts,2020-02-03,1,0
Illinois,2020-02-08,2,0
Washington,2020-02-21,1,0
California,2020-02-24,11,0
Washington,2020-02-24,5,0
Nevada,2020-03-07,2,0
Tennessee,2020-03-07,1,0
California,2020-03-09,172,2
District of Columbia,2020-03-10,4,0
Maine,2020-03-13,2,0
Vermont,2020-03-19,22,2
North Carolina,2020-03-22,269,0
Delaware,2020-03-23,87,0
Idaho,2020-03-23,50,0
Utah,2020-03-27,463,1
Vermont,2020-03-29,228,7
Texas,2020-03-31,3588,57
Colorado,2020-04-19,9616,420
Wyoming,2020-04-20,426,2
Maryland,2020-04-24,16684,663
Virgin Islands,2020-04-24,55,0
Arizona,2020-04-28,6948,297
North Dakota,2020-04-30,1067,19
Ohio,2020-05-01,18743,1002
Nevada,2020-05-02,5390,253
Maine,2020-05-05,1226,61
Louisiana,2020-05-08,30792,2153
Idaho,2020-05-11,2261,69
Missouri,2020-05-14,9652,547
Hawaii,2020-05-16,629,17
New Jersey,2020-05-17,145385,10356
Maine,2020-05-19,1740,73
Massachusetts,2020-05-19,87637,5935
District of Columbia,2020-05-22,7893,418
Utah,2020-05-27,8710,101
Hawaii,2020-05-28,637,17
Idaho,2020-05-29,2804,82
Alaska,2020-06-01,475,8
Wisconsin,2020-06-02,19223,610
California,2020-06-05,126510,4550
Mississippi,2020-06-07,17270,817
Delaware,2020-06-13,10214,419
South Dakota,2020-06-14,5898,75
Utah,2020-06-16,15077,138
New Jersey,2020-06-19,167803,12835
California,2020-07-15,355497,7368
Utah,2020-07-19,33965,243
Nevada,2020-07-23,40088,709
Texas,2020-07-24,383662,4876
Alaska,2020-07-25,2850,18
Wyoming,2020-07-28,2589,26
Oklahoma,2020-07-30,35710,536
Missouri,2020-08-04,48286,1240
Maryland,2020-08-13,98728,3608
Missouri,2020-08-23,67264,1411
Pennsylvania,2020-08-24,134246,7642
Nevada,2020-08-25,66515,1230
North Dakota,2020-08-25,10229,138
New Jersey,2020-08-30,193027,15937
New Mexico,2020-09-07,26144,807
Washington,2020-09-10,82123,2071
Wyoming,2020-09-11,4264,42
Louisiana,2020-09-17,159111,5143
Mississippi,2020-09-25,96032,2894
Kansas,2020-09-28,59793,641
Oregon,2020-09-29,33297,555
Nevada,2020-10-03,81829,1623
Georgia,2020-10-04,304506,6993
Vermont,2020-10-07,1819,58
South Carolina,2020-10-26,171501,3823
Virginia,2020-10-31,181190,3654
Colorado,2020-11-01,110640,2312
New Jersey,2020-11-05,248446,16403
Pennsylvania,2020-11-12,254167,9272
Maryland,2020-11-19,175092,4352
Utah,2020-11-19,165881,757
Pennsylvania,2020-11-21,307247,9862
Nebraska,2020-11-22,114047,937
Alaska,2020-12-04,34968,135
West Virginia,2020-12-04,52172,799
North Dakota,2020-12-06,82981,1013
Arkansas,2020-12-15,186117,3016
Oregon,2020-12-16,97625,1267
Connecticut,2020-12-20,162120,5581
Ohio,2020-12-25,653650,8456
Arizona,2021-01-03,556384,9061
Rhode Island,2021-01-03,78327,1717
Mississippi,2021-01-15,248189,5411
New Hampshire,2021-01-19,57612,937
Washington,2021-01-22,302546,4178
Virginia,2021-01-26,483326,6174
Alabama,2021-02-04,467823,8365
North Carolina,2021-02-05,791457,9880
New York,2021-02-07,842995,16682
Louisiana,2021-02-16,419980,9325
Indiana,2021-02-17,654636,12250
North Dakota,2021-02-21,99277,1438
California,2021-02-26,3561560,51794
